Company Name,Website,Reason
Ningbo Beilun Daqi Huakai Mould,huakaimould.com,no validated alternate domain found in top search results
Ningbo Fubao Electromechanical Technology,fubao.com,no validated alternate domain found in top search results
Ningbo Weitech Mould & Plastic Technology,weitechmould.com,no validated alternate domain found in top search results
Roly Mould,rolymould.com,no validated alternate domain found in top search results
MSI Mould,msimould.com,no validated alternate domain found in top search results
Ningbo Jinye Mould,jinyemould.com,no validated alternate domain found in top search results
Ningbo Beilun Daqi Jinyu Mould,jinyumould.com,no validated alternate domain found in top search results
Minda Corporation,mindacorporation.com,no validated alternate domain found in top search results
Supreme Techno Plast Industries,supremetechnoplast.com,no validated alternate domain found in top search results
Aztec Mouldings,aztecmouldings.co.uk,no validated alternate domain found in top search results
TG Engineering Plastics,tgplastics.co.uk,no validated alternate domain found in top search results
FPPFERN Plastics Products,fppfern.com,no validated alternate domain found in top search results
Mold Systems Europe,moldsystems.co.uk,no validated alternate domain found in top search results
Pyramid Plastics,pyramidplastics.co.uk,no validated alternate domain found in top search results
OTD Plast,otdplast.com,no validated alternate domain found in top search results
Rosenberger Spritzguss,rosenberger-spritzguss.de,no validated alternate domain found in top search results
B+S Werkzeug- und Formenbau,bs-werkzeugbau.de,no validated alternate domain found in top search results
SIC Hungary,sichungary.hu,no validated alternate domain found in top search results
Mikroplast,mikroplast.com,no validated alternate domain found in top search results
Ming-Li Precision Mould,ming-li.com,domain no longer resolves (DNS NXDOMAIN) -- confirmed 2026-08-21 via both a real collection attempt (3 URL variants) and a direct socket.gethostbyname lookup
Apadrecoplastics,apadrecoplastics.co.uk,domain no longer resolves (DNS NXDOMAIN) -- confirmed 2026-08-21 via both a real collection attempt (3 URL variants) and a direct socket.gethostbyname lookup
Murray Plastics,murrayplastics.co.uk,domain no longer resolves (DNS NXDOMAIN) -- confirmed 2026-08-21 via both a real collection attempt (3 URL variants) and a direct socket.gethostbyname lookup
OzMetal Plastik,ozmetalplastik.com.tr,domain no longer resolves (DNS NXDOMAIN) -- confirmed 2026-08-21 via both a real collection attempt (3 URL variants) and a direct socket.gethostbyname lookup
Rutland Plastics,rutlandplastics.co.uk,domain still resolves via DNS but the server does not respond -- connection timed out on all 3 URL variants (https/www, https/bare, http/www) during 2026-08-21 re-collection; less certain than the DNS-NXDOMAIN cases above, worth a manual recheck before treating as permanent
